word,ADJ,ADP,ADV,AUX,CCONJ,NOUN,NUM,PRON,SCONJ,VERB,X
stormy,1,0,0,0,0,0,0,0,0,0,0
backdrop,0,0,0,0,0,2,0,0,0,0,0
particularly,0,0,14,0,0,0,0,0,0,0,0
violent,5,0,0,0,0,0,0,0,0,0,0
dimension,0,0,0,0,0,1,0,0,0,0,0
found,0,0,0,0,0,0,0,0,0,4,0
protestant,7,0,0,0,0,0,0,0,0,0,0
daughter,0,0,0,0,0,41,0,0,0,0,0
violently,0,0,1,0,0,0,0,0,0,0,0
try,0,0,0,0,0,0,0,0,0,5,0
restore,0,0,0,0,0,0,0,0,0,7,0
roman,20,0,0,0,0,0,0,0,0,0,0
pre,0,0,0,0,0,1,0,0,0,0,0
eminence,0,0,0,0,0,1,0,0,0,0,0
sister,0,0,0,0,0,11,0,0,0,0,0
seek,0,0,0,0,0,0,0,0,0,17,0
measure,0,0,0,0,0,8,0,0,0,0,0
compromise,0,0,0,0,0,5,0,0,0,0,0
unsettled,1,0,0,0,0,0,0,0,0,0,0
rise,0,0,0,0,0,4,0,0,0,4,0
great,79,0,0,0,0,0,0,0,0,0,0
art,0,0,0,0,0,21,0,0,0,0,0
exception,0,0,0,0,0,4,0,0,0,0,0
alternative,1,0,0,0,0,1,0,0,0,0,0
classical,52,0,0,0,0,0,0,0,0,0,0
application,0,0,0,0,0,2,0,0,0,0,0
reach,0,0,0,0,0,0,0,0,0,6,0
height,0,0,0,0,0,3,0,0,0,0,0
evidence,0,0,0,0,0,18,0,0,0,1,0
exhibit,0,0,0,0,0,0,0,0,0,8,0
facility,0,0,0,0,0,2,0,0,0,0,0
celebrate,0,0,0,0,0,0,0,0,0,17,0
value,0,0,0,0,0,19,0,0,0,3,0
beauty,0,0,0,0,0,9,0,0,0,0,0
artistry,0,0,0,0,0,4,0,0,0,0,0
fiction,0,0,0,0,0,10,0,0,0,0,0
alongside,0,3,0,0,0,0,0,0,0,0,0
massive,8,0,0,0,0,0,0,0,0,0,0
queen,0,0,0,0,0,9,0,0,0,0,0
common,10,0,0,0,0,1,0,0,0,0,0
labourer,0,0,0,0,0,3,0,0,0,0,0
attend,0,0,0,0,0,0,0,0,0,7,0
opportunity,0,0,0,0,0,5,0,0,0,0,0
substantial,5,0,0,0,0,0,0,0,0,0,0
living,0,0,0,0,0,6,0,0,0,0,0
help,0,0,0,0,0,1,0,0,0,5,0
craft,0,0,0,0,0,3,0,0,0,3,0
attract,0,0,0,0,0,0,0,0,0,5,0
generation,0,0,0,0,0,16,0,0,0,0,0
case,0,0,0,0,0,18,0,0,0,0,0
entire,2,0,0,0,0,0,0,0,0,0,0
volume,0,0,0,0,0,3,0,0,0,0,0
fill,0,0,0,0,0,0,0,0,0,7,0
instructive,2,0,0,0,0,0,0,0,0,0,0
context,0,0,0,0,0,9,0,0,0,0,0
artistic,3,0,0,0,0,0,0,0,0,0,0
earn,0,0,0,0,0,0,0,0,0,5,0
endure,0,0,0,0,0,0,0,0,0,7,0
fame,0,0,0,0,0,5,0,0,0,0,0
bear,0,0,0,0,0,0,0,0,0,13,0
prime,0,0,0,0,0,0,0,0,0,1,0
evident,6,0,0,0,0,0,0,0,0,0,0
substance,0,0,0,0,0,2,0,0,0,0,0
accomplished,3,0,0,0,0,0,0,0,0,0,0
poet,0,0,0,0,0,116,0,0,0,0,0
meld,0,0,0,0,0,0,0,0,0,1,0
powerful,8,0,0,0,0,0,0,0,0,0,0
storytelling,0,0,0,0,0,3,0,0,0,0,0
lyrical,4,0,0,0,0,0,0,0,0,0,0
chilling,1,0,0,0,0,0,0,0,0,0,0
memorable,2,0,0,0,0,0,0,0,0,0,0
