word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,VERB,X
ragged,2,0,0,0,0,0,0,0,0,0
beard,0,0,0,0,0,1,0,0,0,0
hollow,1,0,0,0,0,0,0,0,0,0
extremely,0,0,1,0,0,0,0,0,0,0
visitor,0,0,0,0,0,2,0,0,0,0
continue,0,0,0,0,0,0,0,0,2,0
monsieur,0,0,0,0,0,3,0,0,0,0
kind,0,0,0,0,0,3,0,0,0,0
maker,0,0,0,0,0,2,0,0,0,0
walking,0,0,0,0,0,1,0,0,0,0
glance,0,0,0,0,0,1,0,0,3,0
touch,0,0,0,0,0,1,0,0,1,0
pride,0,0,0,0,0,1,0,0,0,0
bend,0,0,0,0,0,0,0,0,1,0
remember,0,0,0,0,0,0,0,0,3,0
drop,0,0,0,0,0,0,0,0,5,0
ground,0,0,0,0,0,3,0,0,0,0
banker,0,0,0,0,0,1,0,0,0,0
active,1,0,0,0,0,0,0,0,0,0
intelligence,0,0,0,0,0,2,0,0,0,0
black,6,0,0,0,0,0,0,0,0,0
pick,0,0,0,0,0,0,0,0,7,0
move,0,0,0,0,0,0,0,0,3,0
notice,0,0,0,0,0,1,0,0,3,0
skirt,0,0,0,0,0,1,0,0,0,0
jailer,0,0,0,0,0,4,0,0,0,0
sigh,0,0,0,0,0,0,0,0,1,0
golden,2,0,0,0,0,0,0,0,0,0
neck,0,0,0,0,0,1,0,0,0,0
rag,0,0,0,0,0,1,0,0,0,0
hang,0,0,0,0,0,0,0,0,4,0
string,0,0,0,0,0,1,0,0,0,0
knee,0,0,0,0,0,4,0,0,0,0
inside,0,3,2,0,0,0,0,0,0,0
shoulder,0,0,0,0,0,4,0,0,0,0
form,0,0,0,0,0,0,0,0,2,0
speech,0,0,0,0,0,2,0,0,0,0
intelligently,0,0,1,0,0,0,0,0,0,0
agony,0,0,0,0,0,3,0,0,0,0
peace,0,0,0,0,0,1,0,0,0,0
sink,0,0,0,0,0,0,0,0,1,0
touching,1,0,0,0,0,0,0,0,0,0
terrible,3,0,0,0,0,0,0,0,0,0
suffering,0,0,0,0,0,1,0,0,0,0
endure,0,0,0,0,0,0,0,0,2,0
descend,0,0,0,0,0,0,0,0,1,0
parade,0,0,0,0,0,1,0,0,0,0
courtyard,0,0,0,0,0,10,0,0,0,0
soul,0,0,0,0,0,4,0,0,0,0
lean,0,0,0,0,0,0,0,0,8,0
doorpost,0,0,0,0,0,1,0,0,0,0
knit,0,0,0,0,0,0,0,0,10,0
prisoner,0,0,0,0,0,47,0,0,0,0
crack,0,0,0,0,0,0,0,0,1,0
clatter,0,0,0,0,0,0,0,0,1,0
city,0,0,0,0,0,6,0,0,0,0
gate,0,0,0,0,0,6,0,0,0,0
soldier,0,0,0,0,0,7,0,0,0,0
lantern,0,0,0,0,0,1,0,0,0,0
aside,0,0,2,0,0,0,0,0,0,0
adieu,0,0,0,0,1,0,0,0,0,0
grove,0,0,0,0,0,1,0,0,0,0
star,0,0,0,0,0,1,0,0,0,0
law,0,0,0,0,0,3,0,0,0,0
job,0,0,0,0,0,3,0,0,0,0
serve,0,0,0,0,0,0,0,0,3,0
morning,0,0,0,0,0,11,0,0,0,0
station,0,0,0,0,0,1,0,0,0,0
stool,0,0,0,0,0,4,0,0,0,0
underneath,0,2,0,0,0,0,0,0,0,0
banking,0,0,0,0,0,1,0,0,0,0
window,0,0,0,0,0,7,0,0,0,0
son,0,0,0,0,0,6,0,0,0,0
post,0,0,0,0,0,3,0,0,0,0
porter,0,0,0,0,0,1,0,0,0,0
