word,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,PRON,SCONJ,VERB,X
set,0,0,0,0,0,0,3,0,0,0,5,0
standard,4,0,0,0,0,0,10,0,0,0,0,0
education,0,0,0,0,0,0,9,0,0,0,0,0
morality,0,0,0,0,0,0,5,0,0,0,0,0
clergy,0,0,0,0,0,0,44,0,0,0,0,0
canon,1,0,0,0,0,0,19,0,0,0,0,0
persuade,0,0,0,0,0,0,0,0,0,0,2,0
crown,0,0,0,0,0,0,10,0,0,0,6,0
emperor,0,0,0,0,0,0,44,0,0,0,0,0
prestigious,5,0,0,0,0,0,0,0,0,0,0,0
title,0,0,0,0,0,0,15,0,0,0,0,0
precede,0,0,0,0,0,0,0,0,0,0,6,0
lay,24,0,0,0,0,0,4,0,0,0,13,0
large,79,0,0,0,0,0,0,0,0,0,0,0
land,0,0,0,0,0,0,43,0,0,0,2,0
line,0,0,0,0,0,0,14,0,0,0,2,0
die,0,0,0,0,0,0,0,0,0,0,9,0
ascendancy,0,0,0,0,0,0,4,0,0,0,0,0
pray,0,0,0,0,0,0,0,0,0,0,3,0
fight,0,0,0,0,0,0,0,0,0,0,14,0
warrior,0,0,0,0,0,0,20,0,0,0,0,0
lord,0,0,0,0,0,0,15,0,0,0,0,0
peasant,1,0,0,0,0,0,10,0,0,0,0,0
subject,5,0,0,0,0,0,16,0,0,0,0,0
rule,0,0,0,0,0,0,27,0,0,0,20,0
growth,0,0,0,0,0,0,24,0,0,0,0,0
population,0,0,0,0,0,0,56,0,0,0,0,0
explosion,0,0,0,0,0,0,1,0,0,0,0,0
drop,0,0,0,0,0,0,0,0,0,0,1,0
lower,0,0,4,0,0,0,0,0,0,0,0,0
serfdom,0,0,0,0,0,0,5,0,0,0,0,0
technological,14,0,0,0,0,0,0,0,0,0,0,0
water,0,0,0,0,0,0,9,0,0,0,0,0
mill,0,0,0,0,0,0,5,0,0,0,0,0
windmill,0,0,0,0,0,0,3,0,0,0,0,0
horse,0,0,0,0,0,0,17,0,0,0,0,0
stirrup,0,0,0,0,0,0,2,0,0,0,0,0
collar,0,0,0,0,0,0,2,0,0,0,0,0
imposing,1,0,0,0,0,0,0,0,0,0,0,0
architecturally,0,0,1,0,0,0,0,0,0,0,0,0
gothic,4,0,0,0,0,0,0,0,0,0,0,0
cathedral,0,0,0,0,0,0,7,0,0,0,0,0
function,0,0,0,0,0,0,11,0,0,0,4,0
commerce,0,0,0,0,0,0,4,0,0,0,0,0
nonfood,2,0,0,0,0,0,0,0,0,0,0,0
guild,0,0,0,0,0,0,7,0,0,0,0,0
standardize,0,0,0,0,0,0,0,0,0,0,3,0
craft,0,0,0,0,0,0,9,0,0,0,0,0
protect,0,0,0,0,0,0,0,0,0,0,16,0
artisan,0,0,0,0,0,0,2,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,0,25,0
urban,16,0,0,0,0,0,0,0,0,0,0,0
dweller,0,0,0,0,0,0,1,0,0,0,0,0
reputation,0,0,0,0,0,0,1,0,0,0,0,0
possess,0,0,0,0,0,0,0,0,0,0,9,0
proper,3,0,0,0,0,0,0,0,0,0,0,0
belief,0,0,0,0,0,0,28,0,0,0,0,0
manner,0,0,0,0,0,0,11,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,10,0
backward,2,0,0,0,0,0,0,0,0,0,0,0
establish,0,0,0,0,0,0,0,0,0,0,56,0
strict,1,0,0,0,0,0,0,0,0,0,0,0
code,0,0,0,0,0,0,6,0,0,0,0,0
requirement,0,0,0,0,0,0,5,0,0,0,0,0
celibacy,0,0,0,0,0,0,5,0,0,0,0,0
articulate,1,0,0,0,0,0,0,0,0,0,9,0
authority,0,0,0,0,0,0,47,0,0,0,0,0
pope,0,0,0,0,0,0,40,0,0,0,0,0
laity,0,0,0,0,0,0,20,0,0,0,0,0
declaration,0,0,0,0,0,0,1,0,0,0,0,0
papal,43,0,0,0,0,0,2,0,0,0,0,0
result,0,0,0,0,0,0,19,0,0,0,15,0
last,0,0,0,0,0,0,0,0,0,0,9,0
conflict,0,0,0,0,0,0,12,0,0,0,0,0
papacy,0,0,0,0,0,0,9,0,0,0,0,0
lose,0,0,0,0,0,0,0,0,0,0,6,0
character,0,0,0,0,0,0,16,0,0,0,0,0
retain,0,0,0,0,0,0,0,0,0,0,4,0
theoretical,3,0,0,0,0,0,0,0,0,0,0,0
secular,25,0,0,0,0,0,0,0,0,0,0,0
reality,0,0,0,0,0,0,5,0,0,0,0,0
recognize,0,0,0,0,0,0,0,0,0,0,14,0
inhabit,0,0,0,0,0,0,0,0,0,0,7,0
assist,0,0,0,0,0,0,0,0,0,0,5,0
reign,0,0,0,0,0,0,6,0,0,0,8,0
monarch,0,0,0,0,0,0,5,0,0,0,0,0
appoint,0,0,0,0,0,0,0,0,0,0,10,0
council,0,0,0,0,0,0,16,0,0,0,0,0
assembly,0,0,0,0,0,0,10,0,0,0,0,0
appease,0,0,0,0,0,0,0,0,0,0,1,0
nobility,0,0,0,0,0,0,14,0,0,0,0,0
loyalty,0,0,0,0,0,0,5,0,0,0,0,0
personal,11,0,0,0,0,0,0,0,0,0,0,0
power,0,0,0,0,0,0,70,0,0,0,0,0
